Week,AMBEV: (Brazil)
2014-01-05,61
2014-01-12,69
2014-01-19,67
2014-01-26,73
2014-02-02,70
2014-02-09,77
2014-02-16,79
2014-02-23,81
2014-03-02,55
2014-03-09,73
2014-03-16,70
2014-03-23,70
2014-03-30,74
2014-04-06,70
2014-04-13,68
2014-04-20,75
2014-04-27,69
2014-05-04,89
2014-05-11,77
2014-05-18,80
2014-05-25,71
2014-06-01,70
2014-06-08,65
2014-06-15,58
2014-06-22,72
2014-06-29,63
2014-07-06,60
2014-07-13,69
2014-07-20,76
2014-07-27,96
2014-08-03,91
2014-08-10,76
2014-08-17,86
2014-08-24,76
2014-08-31,100
2014-09-07,88
2014-09-14,80
2014-09-21,77
2014-09-28,74
2014-10-05,77
2014-10-12,82
2014-10-19,76
2014-10-26,82
2014-11-02,76
2014-11-09,80
2014-11-16,70
2014-11-23,63
2014-11-30,67
2014-12-07,69
2014-12-14,68
2014-12-21,55
2014-12-28,52
