Week,PETROBRAS: (Brazil)
2014-01-05,33
2014-01-12,30
2014-01-19,31
2014-01-26,30
2014-02-02,31
2014-02-09,30
2014-02-16,53
2014-02-23,71
2014-03-02,46
2014-03-09,59
2014-03-16,59
2014-03-23,47
2014-03-30,44
2014-04-06,42
2014-04-13,41
2014-04-20,35
2014-04-27,34
2014-05-04,39
2014-05-11,41
2014-05-18,41
2014-05-25,34
2014-06-01,31
2014-06-08,28
2014-06-15,24
2014-06-22,31
2014-06-29,28
2014-07-06,25
2014-07-13,26
2014-07-20,30
2014-07-27,30
2014-08-03,32
2014-08-10,30
2014-08-17,33
2014-08-24,32
2014-08-31,34
2014-09-07,67
2014-09-14,95
2014-09-21,93
2014-09-28,92
2014-10-05,91
2014-10-12,88
2014-10-19,100
2014-10-26,78
2014-11-02,51
2014-11-09,55
2014-11-16,71
2014-11-23,52
2014-11-30,73
2014-12-07,86
2014-12-14,98
2014-12-21,71
2014-12-28,55
