,1 unit,50 units,80 units,100 units,150 units,200 units
1,0.72305 (2),0.71631 (4),0.71154 (6),0.72317 (1),0.7168 (3),0.71461 (5)
2,0.72085 (2),0.70666 (5),0.70413 (6),0.72745 (1),0.70935 (4),0.71572 (3)
3,0.72536 (1),0.71572 (4),0.71644 (3),0.71192 (6),0.71473 (5),0.72267 (2)
4,0.7139 (3),0.73465 (1),0.70632 (6),0.71643 (2),0.71192 (5),0.71352 (4)
5,0.70973 (5),0.71148 (3),0.71035 (4),0.70901 (6),0.72607 (2),0.73146 (1)
6,0.70228 (6),0.72256 (2),0.70484 (5),0.71035 (4),0.719 (3),0.73646 (1)
7,0.7185 (3),0.70546 (6),0.71548 (5),0.71914 (2),0.7173 (4),0.72438 (1)
8,0.71086 (4),0.71352 (3),0.71448 (2),0.71449 (1),0.70144 (5),0.69708 (6)
9,0.73622 (1),0.71829 (3),0.71033 (4),0.71937 (2),0.69887 (6),0.70864 (5)
10,0.70831 (5),0.70391 (6),0.71791 (2),0.70923 (4),0.71693 (3),0.73402 (1)
11,3.2,3.7,4.3,2.9,4.0,2.9
,1 unit,50 units,80 units,100 units,150 units,200 units
1,0.83769 (3),0.80987 (6),0.837 (4),0.85924 (1),0.8402 (2),0.81969 (5)
2,0.79317 (5),0.80707 (4),0.78856 (6),0.82211 (3),0.87096 (1),0.83099 (2)
3,0.82837 (4),0.80827 (5),0.84098 (2),0.84284 (1),0.83016 (3),0.80085 (6)
4,0.81957 (6),0.82131 (5),0.88509 (1),0.82183 (4),0.83178 (2),0.82773 (3)
5,0.80351 (5),0.82074 (4),0.82651 (3),0.84466 (1),0.82832 (2),0.79749 (6)
6,0.81726 (4),0.81255 (5),0.84251 (1),0.82574 (3),0.83016 (2),0.81001 (6)
7,0.80318 (5),0.82139 (4),0.84451 (2),0.85319 (1),0.82682 (3),0.7788 (6)
8,0.84035 (2),0.82574 (5),0.84086 (1),0.82639 (4),0.82667 (3),0.80824 (6)
9,0.85139 (2),0.84585 (3),0.82625 (5),0.84238 (4),0.81635 (6),0.87159 (1)
10,0.83805 (3),0.86092 (1),0.80473 (6),0.81523 (4),0.84811 (2),0.81019 (5)
11,3.9,4.2,3.1,2.6,2.6,4.6
